Phylum,Class,Order,Family,Genus,Species,OTU,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,WHYD20082037_A,WHYD20082062_A
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU5495,129,35,17,18,75,41,90,0,211,5,86,97,49,13,26,24,25,0,20,2,0,8,10,4,6,0,5,2,1,2,10,2,5,16,18,3,6,3,14,3,45,23
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,uncultured_organism_g__Lachnoclostridium,OTU1563,19,2,1,4,3,0,10,43,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,unclassified_g__Gemella,OTU4121,2,2,2,7,1,1,0,0,18,1,6,8,0,2,4,2,2,1,4,2,0,3,2,6,6,0,2,3,1,0,0,1,2,3,6,0,7,1,1,0,2,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,unclassified_f__Veillonellaceae,unclassified_f__Veillonellaceae,OTU2820,0,0,0,0,0,1,0,0,19,1,9,17,0,0,0,0,2,4,4,2,1,3,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,3,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU4255,145,1,1,10,3,25,2,6,0,3,43,6,4,0,12,0,10,13,0,24,2,57,15,11,21,0,23,12,2,9,39,5,0,4,18,6,0,0,24,18,1,1
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU3721,64,46,34,9,83,32,75,5,2,4,16,12,21,59,14,98,12,39,93,105,118,1014,41,415,628,148,155,77,133,281,1904,35,105,244,298,193,374,67,818,347,43,19
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,norank_o__Peptostreptococcales-Tissierellales,Parvimonas,Peptostreptococcaceae_bacterium_feline_oral_taxon_028,OTU5794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,4,7,0,10,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,2,8
Firmicutes,Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,OTU5591,0,22,50,136,2,2,0,14,21,13,3,6,8,1,37,5,21,8,11,18,8,1,19,4,26,11,16,30,1,18,2,35,1,4,15,9,3,34,7,30,4,2
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,unclassified_g__Lachnoclostridium,OTU4900,31,1,0,7,0,1,15,35,0,0,7,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,OTU574,0,2,1,58,1,0,0,0,5,2,0,0,0,1,12,1,0,2,8,5,3,0,5,0,0,1,14,12,0,0,0,19,0,3,0,2,2,20,0,5,0,0
Firmicutes,Bacilli,Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,OTU550,16,12,0,0,0,0,0,0,0,0,18,44,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,10,0,0,0,0,13,0,0,0,0
Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,unclassified_g__Gemella,OTU3813,3,11,2,6,2,4,2,3,8,7,3,7,20,3,5,6,8,1,9,4,4,7,7,6,8,1,2,6,0,9,3,3,9,2,22,5,7,2,14,4,1,8
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU3383,6,8,12,6,14,2,65,1,1,7,12,4,15,1,2,15,7,1,5,14,3,5,4,8,26,20,2,11,14,30,24,2,108,7,2,25,14,9,34,6,39,7
Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,OTU5505,0,3,1,3,0,0,0,2,5,2,1,2,7,0,0,3,0,0,0,0,0,0,1,5,2,2,4,1,0,1,1,0,4,0,1,1,5,4,0,1,1,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera_micronuciformis,OTU294,71,201,5,3,63,40,84,18,124,1,341,102,58,21,80,8,2,4,46,13,25,155,18,163,3,6,102,29,11,7,293,1,6,73,33,24,126,5,88,7,49,38
Firmicutes,Bacilli,Lactobacillales,P5D1-392,norank_f__P5D1-392,Streptococcus_sp._oral_clone_ASCB12,OTU5497,96,198,63,66,101,79,162,8,140,40,56,123,226,25,52,119,38,20,81,47,24,80,48,97,24,23,16,46,100,55,85,67,241,45,51,58,124,39,42,41,133,60
